GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,GAME_ID.1,TEAM_ID,TEAM_NAME,TEAM_CITY,MIN.1,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
22100297,2021-11-27,0,0,265,48,103,0.466,20,50,0.4,27,30,0.9,16,23,39,31,10,5,11,23,143,22100297,1610612766,Hornets,Charlotte,265:00,128.6,130.0,128.5,133.9,0.1,-3.9,0.646,2.82,19.6,0.357,0.646,0.49,9.892,10.0,0.563,0.615,1.0,0.197,101.81,99.17,82.64,110,0.489
22100292,2021-11-27,1,0,290,39,93,0.419,12,34,0.353,30,39,0.769,12,32,44,27,13,5,16,25,120,22100292,1610612755,76ers,Philadelphia,290:00,105.1,107.1,107.0,107.1,-1.9,0.1,0.692,1.69,17.6,0.274,0.7,0.464,14.015,14.3,0.484,0.545,1.0,0.2,94.01,93.1,77.59,112,0.5
22100293,2021-11-27,1,0,240,33,93,0.355,9,37,0.243,15,20,0.75,13,39,52,18,8,6,7,17,90,22100293,1610612737,Hawks,Atlanta,240:00,93.9,97.8,105.7,105.3,-11.7,-7.5,0.545,2.57,14.2,0.279,0.796,0.509,7.307,7.6,0.403,0.442,1.0,0.199,94.74,93.0,77.5,92,0.452
22100296,2021-11-27,0,1,240,37,86,0.43,14,40,0.35,19,22,0.864,9,27,36,23,13,1,10,19,107,22100296,1610612748,Heat,Miami,240:00,110.7,109.2,100.7,107.2,9.9,2.0,0.622,2.3,17.9,0.22,0.659,0.426,10.343,10.2,0.512,0.559,1.0,0.201,99.96,97.5,81.25,98,0.522
22100294,2021-11-27,0,1,240,41,92,0.446,13,38,0.342,18,21,0.857,11,30,41,17,11,1,13,17,113,22100294,1610612756,Suns,Phoenix,240:00,109.5,109.7,103.6,105.9,5.8,3.8,0.415,1.31,13.0,0.283,0.727,0.485,12.592,12.6,0.516,0.558,1.0,0.2,103.24,102.0,85.0,103,0.478
22100294,2021-11-27,1,0,240,42,84,0.5,7,23,0.304,16,21,0.762,10,37,47,25,7,5,20,15,107,22100294,1610612751,Nets,Brooklyn,240:00,103.6,105.9,109.5,109.7,-5.8,-3.8,0.595,1.25,18.1,0.273,0.717,0.515,19.372,19.8,0.542,0.574,1.0,0.2,103.24,102.0,85.0,101,0.522
22100298,2021-11-27,1,0,240,42,89,0.472,14,38,0.368,16,22,0.727,9,26,35,23,7,4,7,21,114,22100298,1610612742,Mavericks,Dallas,240:00,117.9,117.5,123.2,126.3,-5.2,-8.8,0.548,3.29,17.9,0.24,0.75,0.453,7.24,7.2,0.551,0.578,1.0,0.199,97.06,96.0,80.0,97,0.438
22100299,2021-11-27,1,1,240,45,80,0.563,20,35,0.571,17,22,0.773,7,34,41,24,9,4,18,25,127,22100299,1610612762,Jazz,Utah,240:00,126.1,125.7,101.7,105.0,24.4,20.7,0.533,1.33,18.2,0.205,0.684,0.49,17.878,17.8,0.688,0.708,1.0,0.199,101.96,100.5,83.75,101,0.571
22100296,2021-11-27,1,0,240,38,81,0.469,11,39,0.282,17,21,0.81,10,37,47,22,6,4,23,20,104,22100296,1610612741,Bulls,Chicago,240:00,100.7,107.2,110.7,109.2,-9.9,-2.0,0.579,0.96,16.3,0.341,0.78,0.574,22.278,23.7,0.537,0.576,1.0,0.196,99.96,97.5,81.25,97,0.478
22100295,2021-11-27,0,0,240,35,88,0.398,8,32,0.25,14,23,0.609,8,35,43,21,11,5,9,16,92,22100295,1610612753,Magic,Orlando,240:00,92.8,95.8,106.8,107.1,-14.0,-11.3,0.6,2.33,16.4,0.214,0.745,0.467,9.08,9.4,0.443,0.469,1.0,0.2,98.7,97.0,80.83,96,0.431
22100295,2021-11-27,1,1,240,41,90,0.456,14,39,0.359,9,12,0.75,10,41,51,28,3,9,13,18,105,22100295,1610612739,Cavaliers,Cleveland,240:00,106.8,107.1,92.8,95.8,14.0,11.3,0.683,2.15,20.5,0.255,0.786,0.533,13.228,13.3,0.533,0.551,1.0,0.198,98.7,97.0,80.83,98,0.569
22100298,2021-11-27,0,1,240,45,78,0.577,9,24,0.375,21,26,0.808,7,36,43,28,4,4,15,18,120,22100298,1610612764,Wizards,Washington,240:00,123.2,126.3,117.9,117.5,5.2,8.8,0.622,1.87,21.1,0.25,0.76,0.547,15.394,15.8,0.635,0.671,1.0,0.197,97.06,96.0,80.0,95,0.562
22100297,2021-11-27,1,1,265,51,95,0.537,23,49,0.469,21,31,0.677,10,31,41,36,5,4,15,25,146,22100297,1610612745,Rockets,Houston,265:00,128.5,133.9,128.6,130.0,-0.1,3.9,0.706,2.4,22.6,0.354,0.643,0.51,13.2,13.8,0.658,0.672,1.0,0.197,101.81,99.17,82.64,109,0.511
22100293,2021-11-27,0,1,240,36,82,0.439,11,29,0.379,16,22,0.727,8,42,50,20,4,3,10,17,99,22100293,1610612752,Knicks,New York,240:00,105.7,105.3,93.9,97.8,11.7,7.5,0.556,2.0,16.4,0.204,0.721,0.491,10.675,10.6,0.506,0.54,1.0,0.199,94.74,93.0,77.5,94,0.548
22100292,2021-11-27,0,1,290,48,96,0.5,14,36,0.389,11,16,0.688,11,43,54,22,7,6,21,31,121,22100292,1610612750,Timberwolves,Minnesota,290:00,107.0,107.1,105.1,107.1,1.9,-0.1,0.458,1.05,15.1,0.3,0.726,0.536,18.577,18.6,0.573,0.587,1.0,0.2,94.01,93.1,77.59,113,0.5
22100299,2021-11-27,0,0,240,40,93,0.43,8,35,0.229,17,21,0.81,14,31,45,27,8,3,15,20,105,22100299,1610612740,Pelicans,New Orleans,240:00,101.7,105.0,126.1,125.7,-24.4,-20.7,0.675,1.8,18.7,0.316,0.795,0.51,14.529,15.0,0.473,0.513,1.0,0.196,101.96,100.5,83.75,100,0.429
22100304,2021-11-28,0,0,240,38,89,0.427,13,33,0.394,17,19,0.895,12,41,53,29,5,4,17,20,106,22100304,1610612765,Pistons,Detroit,240:00,103.6,101.9,106.8,106.8,-3.2,-4.9,0.763,1.71,20.2,0.275,0.857,0.56,16.608,16.3,0.5,0.544,1.0,0.201,102.68,103.5,86.25,104,0.467
22100302,2021-11-28,1,0,240,35,93,0.376,13,42,0.31,14,16,0.875,14,30,44,19,6,5,11,24,97,22100302,1610612761,Raptors,Toronto,240:00,100.0,100.0,107.2,111.2,-7.3,-11.2,0.543,1.73,14.6,0.25,0.62,0.418,11.336,11.3,0.446,0.485,1.0,0.198,99.34,97.5,81.25,97,0.401
22100302,2021-11-28,0,1,240,34,82,0.415,12,34,0.353,29,31,0.935,12,41,53,24,5,3,18,19,109,22100302,1610612738,Celtics,Boston,240:00,107.2,111.2,100.0,100.0,7.3,11.2,0.706,1.33,17.4,0.38,0.75,0.582,17.71,18.4,0.488,0.57,1.0,0.199,99.34,97.5,81.25,98,0.599
22100300,2021-11-28,1,0,240,32,80,0.4,9,28,0.321,17,25,0.68,15,32,47,18,8,3,25,21,90,22100300,1610612746,Clippers,LA,240:00,89.1,90.0,103.3,105.0,-14.2,-15.0,0.563,0.72,13.4,0.34,0.706,0.525,24.752,25.0,0.456,0.495,1.0,0.197,101.34,100.0,83.33,100,0.391
22100301,2021-11-28,1,0,240,38,92,0.413,12,45,0.267,12,16,0.75,12,33,45,21,6,2,13,21,100,22100301,1610612754,Pacers,Indiana,240:00,100.0,100.0,117.2,118.0,-17.2,-18.0,0.553,1.62,15.8,0.25,0.702,0.456,12.995,13.0,0.478,0.505,1.0,0.2,100.36,100.0,83.33,100,0.379
22100300,2021-11-28,0,1,240,38,86,0.442,17,40,0.425,12,22,0.545,11,32,43,25,19,2,17,27,105,22100300,1610612744,Warriors,Golden State,240:00,103.3,105.0,89.1,90.0,14.2,15.0,0.658,1.47,18.2,0.294,0.66,0.475,16.719,17.0,0.541,0.549,1.0,0.199,101.34,100.0,83.33,100,0.609
22100301,2021-11-28,0,1,240,46,90,0.511,8,35,0.229,18,22,0.818,13,39,52,27,7,3,14,14,118,22100301,1610612749,Bucks,Milwaukee,240:00,117.2,118.0,100.0,100.0,17.2,18.0,0.587,1.93,19.2,0.298,0.75,0.544,13.905,14.0,0.556,0.592,1.0,0.197,100.36,100.0,83.33,100,0.621
22100303,2021-11-28,0,0,240,33,97,0.34,9,42,0.214,26,37,0.703,12,37,49,17,5,8,8,18,101,22100303,1610612758,Kings,Sacramento,240:00,92.4,95.3,117.6,119.6,-25.2,-24.3,0.515,2.13,12.3,0.239,0.691,0.437,7.321,7.5,0.387,0.446,1.0,0.201,109.04,106.5,88.75,106,0.339
22100304,2021-11-28,1,1,240,43,86,0.5,9,32,0.281,15,25,0.6,6,36,42,32,11,8,12,18,110,22100304,1610612747,Lakers,Los Angeles,240:00,106.8,106.8,103.6,101.9,3.2,4.9,0.744,2.67,22.7,0.143,0.725,0.44,11.65,11.7,0.552,0.567,1.0,0.2,102.68,103.5,86.25,103,0.533
22100303,2021-11-28,1,1,240,50,104,0.481,13,39,0.333,15,20,0.75,14,54,68,30,4,11,10,25,128,22100303,1610612763,Grizzlies,Memphis,240:00,117.6,119.6,92.4,95.3,25.2,24.3,0.6,3.0,19.6,0.309,0.761,0.563,9.191,9.3,0.543,0.567,1.0,0.197,109.04,106.5,88.75,107,0.661
22100305,2021-11-29,1,1,240,39,97,0.402,10,33,0.303,13,18,0.722,12,43,55,24,7,6,11,19,101,22100305,1610612755,76ers,Philadelphia,240:00,97.2,99.0,94.2,93.2,3.0,5.8,0.615,2.18,17.2,0.242,0.815,0.509,10.585,10.8,0.454,0.481,1.0,0.198,102.92,102.5,85.42,102,0.511
22100310,2021-11-29,0,1,240,45,80,0.563,10,19,0.526,14,18,0.778,5,43,48,29,3,4,20,22,114,22100310,1610612739,Cavaliers,Cleveland,240:00,110.8,115.2,97.4,96.0,13.4,19.2,0.644,1.45,21.2,0.222,0.83,0.584,19.433,20.2,0.625,0.648,1.0,0.195,100.76,99.5,82.92,99,0.606
22100307,2021-11-29,1,1,240,53,89,0.596,14,30,0.467,13,19,0.684,5,36,41,35,3,5,11,19,133,22100307,1610612741,Bulls,Chicago,240:00,128.7,133.0,117.5,120.2,11.1,12.8,0.66,3.18,24.4,0.237,0.804,0.548,10.642,11.0,0.674,0.683,1.0,0.197,102.3,99.5,82.92,100,0.556
22100313,2021-11-29,1,0,240,37,72,0.514,14,36,0.389,16,21,0.762,4,31,35,17,2,2,15,16,104,22100313,1610612746,Clippers,LA,240:00,112.7,111.8,129.4,133.7,-16.7,-21.9,0.459,1.13,15.0,0.132,0.646,0.419,16.262,16.1,0.611,0.64,1.0,0.197,93.64,92.5,77.08,93,0.405
22100308,2021-11-29,1,1,240,40,96,0.417,15,46,0.326,7,11,0.636,9,51,60,31,7,5,14,19,102,22100308,1610612745,Rockets,Houston,240:00,96.4,100.0,82.8,86.4,13.5,13.6,0.775,2.21,21.3,0.241,0.867,0.559,13.228,13.7,0.495,0.506,1.0,0.197,106.64,102.5,85.42,102,0.587
